2020-04-10,216,10238,4836,4512,1.0718
2020-04-09,300,10022,5161,4117,1.2536
2020-04-08,238,9722,5248,3857,1.3606
2020-04-07,282,9484,5306,3710,1.4302
2020-04-06,297,9202,5426,3443,1.5760
2020-04-05,249,8905,5449,3189,1.7087
2020-04-04,345,8656,5561,2941,1.8909
2020-04-03,351,8311,5762,2414,2.3869
2020-04-02,367,7960,5792,2070,2.7981
2020-04-01,394,7593,5634,1886,2.9873
2020-03-31,381,7199,5559,1585,3.5073
2020-03-30,458,6818,5398,1382,3.9059
2020-03-29,416,6360,5142,1194,4.3065
2020-03-28,542,5944,4978,943,5.2789
